id,Building Name,Year of Completion,Total Floors,Swimming Pools,Total Parking Spaces,Total Building Area,Elevators,Retail Centres
8456099,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8457231,PARK ISLAND BONAIRE,2010,32,1,190,"433,754 sqft",3,NA
8427933,Delphine W3,2009,23,NA,985,"133,898 sqft",2,NA
8407917,LIV RESIDENCE,2020,28,1,205,"427,447 sqft",4,8
8422986,Sparkle Tower 2,2019,14,2,126,"107,473 sqft",3,NA
8286055,ESCAN MARINA TOWER,2016,31,NA,NA,"278,342 sqft",NA,2
8182475,DAMAC HEIGHTS,2018,80,1,703,"884,073 sqft",12,3
7982340,Silverene Towers A,2011,34,NA,NA,"342,968 sqft",NA,4
8400673,WEST AVENUE,2014,35,NA,NA,"267,598 sqft",NA,5
8419577,THE RESIDENCE AT MARINA GATE 2,2019,61,1,770,"703,394 sqft",11,15
8428681,MARINA DIAMOND-2,2008,16,NA,NA,"179,373 sqft",NA,5
7634915,ALMASS,2008,29,NA,NA,"706,961 sqft",NA,3
8374937,MARINA CROWN TOWER,2007,55,1,451,"983,257 sqft",7,3
8398827,Marina Pinnacle,2011,66,NA,NA,"849,284 sqft",NA,7
8439170,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8411562,ESCAN MARINA TOWER,2016,31,NA,NA,"278,342 sqft",NA,2
7893767,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8308645,OCEAN HEIGHTS,2010,75,NA,NA,"810,161 sqft",NA,1
8337747,52|42 Tower 1,2020,52,1,379,"1,465,941 sqft",6,NA
8307975,THE WAVES A,2008,22,NA,NA,"216,005 sqft",NA,NA
8543017,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
8530693,MARINA WHARF II,2014,30,1,200,"223,642 sqft",5,13
8510577,MARINA VIEW TOWERS B,2009,14,NA,NA,"170,941 sqft",NA,11
7955368,BAY CENTRAL 2,2012,38,NA,NA,"277,517 sqft",NA,NA
8531213,52|42 Tower 2,2020,38,NA,245,"1,465,941 sqft",5,NA
