id,Developer,Ownership,Built-up Area,Usage,Balcony Size,Total Building Area,Parking Availability
8307864,ZUMURUD REAL ESTATE - sole proprietorship L.L.C,Freehold,370 sqft,Residential,NA,"279,413 sqft",Yes
7559908,NA,Freehold,"2,440 sqft",Residential,236 sqft,"173,612 sqft",Yes
5498442,NA,Freehold,"1,854 sqft",Residential,107 sqft,"330,421 sqft",Yes
6344109,BAY CENTRAL DEVELOPMENTS LIMITED,Freehold,"1,538 sqft",Residential,137 sqft,"277,517 sqft",Yes
8305363,NA,Freehold,714 sqft,Residential,69 sqft,"169,611 sqft",Yes
8380280,HIRCON INTERNATIONAL L.L.C,Freehold,"1,617 sqft",Residential,146 sqft,"886,537 sqft",Yes
5707965,NA,NA,NA,NA,NA,"345,350 sqft",NA
8157856,NA,NA,NA,NA,NA,"326,421 sqft",NA
6126627,GKT HOLDINGS LIMITED,Freehold,910 sqft,Residential,125 sqft,"294,679 sqft",Yes
8315919,SCOPE INVESTMENT L L C - DUBAI BRANCH,Freehold,"2,326 sqft",Other,285 sqft,"940,502 sqft",Yes
5333448,NA,Freehold,"1,371 sqft",Residential,158 sqft,"211,465 sqft",Yes
8302179,EMAAR PROPERTIES (P.J.S.C),Freehold,"1,367 sqft",Residential,108 sqft,"293,542 sqft",Yes
8346226,EMAAR PROPERTIES (P.J.S.C),Freehold,983 sqft,Other,47 sqft,"204,945 sqft",Yes
8229586,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,714 sqft,Residential,62 sqft,"264,403 sqft",Yes
8590618,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"1,801 sqft",Residential,180 sqft,"1,465,941 sqft",Yes
8574035,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,609 sqft,Residential,39 sqft,"1,403,677 sqft",Yes
8574976,NA,Freehold,947 sqft,Residential,46 sqft,"147,836 sqft",Yes
8555992,NA,Freehold,953 sqft,Residential,156 sqft,"247,478 sqft",Yes
8569888,NA,Freehold,"1,150 sqft",Residential,128 sqft,"269,282 sqft",Yes
8555994,TRIDENT INTERNATIONAL HOLDING (FZCO),Freehold,"1,703 sqft",Residential,407 sqft,"170,995 sqft",NA
8562107,NA,Freehold,"1,546 sqft",Residential,235 sqft,"261,612 sqft",Yes
8530796,GLOBAL GROUP INTERNATIONAL LIMITED,Freehold,858 sqft,Residential,145 sqft,"345,350 sqft",Yes
8555133,EMAAR PROPERTIES (P.J.S.C),Freehold,540 sqft,Residential,59 sqft,"1,565,456 sqft",NA
8544468,NA,Freehold,"1,491 sqft",Residential,193 sqft,"216,192 sqft",Yes
8474727,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C,Freehold,609 sqft,Residential,NA,"342,968 sqft",Yes
8583079,NA,Freehold,484 sqft,Residential,103 sqft,NA,Yes
8361014,AL SAYYAH & SONS INVESTMENT (L.L.C.),Freehold,"1,391 sqft",Residential,156 sqft,"846,914 sqft",Yes
8407072,NA,Freehold,"2,959 sqft",Residential,"1,790 sqft","197,703 sqft",Yes
8410140,DAMAC PROPERTIES CO (L.L.C),Freehold,"1,620 sqft",Residential,391 sqft,"810,161 sqft",NA
8401767,AL SAYYAH & SONS INVESTMENT (L.L.C.),Freehold,735 sqft,Residential,68 sqft,"846,914 sqft",Yes
8325449,NA,Freehold,"1,405 sqft",Residential,65 sqft,"138,520 sqft",Yes
8325169,SCOPE INVESTMENT L L C - DUBAI BRANCH,Freehold,"2,476 sqft",Other,388 sqft,"940,502 sqft",Yes
8160877,NA,NA,NA,NA,NA,"846,914 sqft",NA
7973106,TRIDENT INTERNATIONAL HOLDING (FZCO),Freehold,"1,603 sqft",Residential,295 sqft,"530,884 sqft",Yes
7775667,DAMAC GULF PROPERTIES (L.L.C),Freehold,967 sqft,Residential,89 sqft,"884,073 sqft",Yes
8605103,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
8605104,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
8284269,NA,Freehold,"1,163 sqft",Residential,284 sqft,"207,736 sqft",Yes
8466892,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,945 sqft,Residential,43 sqft,"1,403,677 sqft",Yes
8348723,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C,Freehold,"1,788 sqft",Residential,157 sqft,"342,968 sqft",Yes
8296381,SCOPE INVESTMENT L L C - DUBAI BRANCH,Freehold,740 sqft,Other,41 sqft,"940,502 sqft",Yes
8474727,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C,Freehold,609 sqft,Residential,NA,"342,968 sqft",Yes
8600068,TRIDENT INTERNATIONAL HOLDING (FZCO),Freehold,"1,709 sqft",Residential,406 sqft,"170,995 sqft",NA
8508062,TIGER PROPERTIES,Freehold,"1,583 sqft",Residential,150 sqft,"849,284 sqft",Yes
8616254,NA,Freehold,"1,064 sqft",Residential,162 sqft,"261,612 sqft",Yes
8498876,TAMEER HOLDING INVESTMENT   (LLC),Freehold,"1,999 sqft",Residential,168 sqft,"1,097,409 sqft",Yes
8497546,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"1,095 sqft",Other,102 sqft,"1,403,598 sqft",Yes
8504044,EMAAR DEVELOPMENT P.J.S.C.,Freehold,685 sqft,Other,46 sqft,"1,403,598 sqft",Yes
8511336,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"1,154 sqft",Other,123 sqft,"1,403,598 sqft",Yes
8522755,TAMEER HOLDING INVESTMENT   (LLC),Freehold,"1,331 sqft",Residential,37 sqft,"925,527 sqft",Yes
8088967,THARWAA ESCAN INVESTMENTS (L.L.C),Freehold,703 sqft,Residential,109 sqft,"278,342 sqft",Yes
8525969,HALCON REAL ESTATE DEVELOPMEMNT (L.L.C),Freehold,722 sqft,Residential,71 sqft,"231,557 sqft",Yes
8473400,NA,Freehold,823 sqft,Residential,65 sqft,"290,902 sqft",Yes
8580500,ETA STAR PROPERTY DEVELOPERS L.L.C,Freehold,"1,496 sqft",Residential,190 sqft,"83,997 sqft",Yes
8378185,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C,Freehold,832 sqft,Residential,97 sqft,"264,007 sqft",Yes
8383617,NA,Freehold,517 sqft,Residential,103 sqft,"439,936 sqft",Yes
8384842,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
8508000,TAMEER HOLDING INVESTMENT   (LLC),Freehold,"1,179 sqft",Residential,114 sqft,"1,097,409 sqft",Yes
8535122,TAMEER HOLDING INVESTMENT   (LLC),Freehold,864 sqft,Residential,113 sqft,"1,097,409 sqft",Yes
8125601,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C,Freehold,"1,255 sqft",Residential,35 sqft,"720,602 sqft",Yes
8594102,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
8491031,T F G REAL ESTATE L.L.C,NA,NA,NA,NA,NA,NA
8320003,L I V REAL ESTATE DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
8581461,L I V REAL ESTATE DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
8328529,NA,Freehold,"1,303 sqft",Residential,57 sqft,"283,672 sqft",Yes
8594635,NA,NA,NA,NA,NA,"268,322 sqft",NA
8580758,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,"1,055 sqft",Residential,458 sqft,"264,403 sqft",Yes
8585379,NA,Freehold,"1,103 sqft",Residential,139 sqft,"81,708 sqft",Yes
8595938,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C,Freehold,"1,441 sqft",Residential,97 sqft,"342,968 sqft",Yes
8160877,NA,NA,NA,NA,NA,"846,914 sqft",NA
8569231,TEBYAN REAL ESTATE DEVELOPMENT ENTERPRISES (LLC),Freehold,970 sqft,Residential,208 sqft,"107,473 sqft",Yes
8570583,NA,Freehold,700 sqft,Residential,129 sqft,"439,936 sqft",Yes
8344272,AL SAYYAH & SONS INVESTMENT (L.L.C.),Freehold,735 sqft,Residential,68 sqft,"846,914 sqft",Yes
8569948,BAY CENTRAL DEVELOPMENTS LIMITED,Freehold,646 sqft,Residential,51 sqft,"277,517 sqft",Yes
8503238,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,868 sqft,Residential,128 sqft,"610,210 sqft",Yes
8498357,NA,Freehold,953 sqft,Residential,60 sqft,"138,520 sqft",Yes
8478210,NA,Freehold,"1,562 sqft",Residential,59 sqft,"154,935 sqft",NA
8491780,SCOPE INVESTMENT L L C - DUBAI BRANCH,Freehold,"1,529 sqft",Other,192 sqft,"940,502 sqft",Yes
8513567,EMAAR PROPERTIES (P.J.S.C),Freehold,922 sqft,Residential,80 sqft,"366,045 sqft",Yes
8305653,GLOBAL GROUP HOLDINGS LIMITED,Freehold,"1,339 sqft",Residential,258 sqft,"370,459 sqft",Yes
8344342,NA,NA,NA,NA,NA,"268,322 sqft",NA
8344506,NA,NA,NA,NA,NA,"107,473 sqft",NA
8396182,TORCH SELECT LIMITED,Freehold,808 sqft,Residential,114 sqft,"852,218 sqft",Yes
8533647,BAY CENTRAL DEVELOPMENTS LIMITED,Freehold,"1,149 sqft",Residential,137 sqft,"277,517 sqft",Yes
8302937,TEBYAN REAL ESTATE DEVELOPMENT ENTERPRISES (LLC),Freehold,"1,868 sqft",Residential,207 sqft,"268,322 sqft",Yes
8471520,EMAAR PROPERTIES (P.J.S.C),Freehold,775 sqft,Residential,NA,"293,542 sqft",Yes
6519509,EMAAR PROPERTIES (P.J.S.C),Freehold,"1,302 sqft",Residential,58 sqft,"435,062 sqft",Yes
8545153,EMAAR PROPERTIES (P.J.S.C),Freehold,"1,302 sqft",Residential,58 sqft,"433,754 sqft",Yes
8534006,EMAAR PROPERTIES (P.J.S.C),Freehold,"1,333 sqft",Residential,59 sqft,"1,565,456 sqft",NA
8534191,EMAAR PROPERTIES (P.J.S.C),Freehold,545 sqft,Residential,59 sqft,"1,565,456 sqft",NA
